"REF_DATE","GEO","DGUID","Selected characteristic","Indicators","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679152","9.8.15.1","108700","","","","0"
"2018","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679152","9.8.15.1","112500","","","","0"
"2019","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679152","9.8.15.1","93800","","","","0"
"2015","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679155","9.8.15.4","18.1","","","","1"
"2016","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679155","9.8.15.4","13.3","","","","1"
"2017","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679155","9.8.15.4","17.2","","","","1"
"2018","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679155","9.8.15.4","16.7","","","","1"
"2019","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679155","9.8.15.4","14.2","","","","1"
"2015","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111679159","9.8.16.1","80200","","","","0"
"2016","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111679159","9.8.16.1","64700","","","","0"
"2017","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111679159","9.8.16.1","72900","","","","0"
"2018","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111679159","9.8.16.1","78000","","","","0"
"2019","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111679159","9.8.16.1","68100","","","","0"
"2015","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111679162","9.8.16.4","13.1","","","","1"
"2016","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111679162","9.8.16.4","10.1","","","","1"
"2017","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111679162","9.8.16.4","11.5","","","","1"
"2018","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111679162","9.8.16.4","11.6","","","","1"
"2019","Saskatchewan","2016A000247","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111679162","9.8.16.4","10.3","","","","1"
"2015","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679334","10.1.15.1","89200","","","","0"
"2016","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679334","10.1.15.1","120100","","","","0"
"2017","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679334","10.1.15.1","114800","","","","0"
"2018","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679334","10.1.15.1","117400","","","","0"
"2019","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679334","10.1.15.1","104000","","","","0"
"2015","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679337","10.1.15.4","20.3","","","","1"
"2016","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679337","10.1.15.4","25.6","","","","1"
"2017","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679337","10.1.15.4","21.6","","","","1"
"2018","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679337","10.1.15.4","20.8","","","","1"
"2019","Alberta","2016A000248","Household income, first quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679337","10.1.15.4","17.4","","","","1"
"2015","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679341","10.1.16.1","67700","","","","0"
"2016","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679341","10.1.16.1","87200","","","","0"
"2017","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679341","10.1.16.1","79900","","","","0"
"2018","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679341","10.1.16.1","80500","","","","0"
"2019","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679341","10.1.16.1","77600","","","","0"
"2015","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679344","10.1.16.4","15.4","","","","1"
"2016","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679344","10.1.16.4","18.6","","","","1"
"2017","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679344","10.1.16.4","15.0","","","","1"
"2018","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679344","10.1.16.4","14.3","","","","1"
"2019","Alberta","2016A000248","Household income, first quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679344","10.1.16.4","13.0","","","","1"
"2015","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679516","10.2.15.1","114600","","","","0"
"2016","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679516","10.2.15.1","111000","","","","0"
"2017","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679516","10.2.15.1","117200","","","","0"
"2018","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679516","10.2.15.1","118900","","","","0"
"2019","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679516","10.2.15.1","106300","","","","0"
"2015","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679519","10.2.15.4","20.8","","","","1"
"2016","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679519","10.2.15.4","19.8","","","","1"
"2017","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679519","10.2.15.4","19.4","","","","1"
"2018","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679519","10.2.15.4","19.3","","","","1"
"2019","Alberta","2016A000248","Household income, second quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679519","10.2.15.4","16.1","","","","1"
"2015","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679523","10.2.16.1","82400","E","","","0"
"2016","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679523","10.2.16.1","73900","","","","0"
"2017","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679523","10.2.16.1","84600","","","","0"
"2018","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679523","10.2.16.1","89900","","","","0"
"2019","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679523","10.2.16.1","76600","","","","0"
"2015","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679526","10.2.16.4","15.0","","","","1"
"2016","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679526","10.2.16.4","13.2","","","","1"
"2017","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679526","10.2.16.4","14.0","","","","1"
"2018","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679526","10.2.16.4","14.6","","","","1"
"2019","Alberta","2016A000248","Household income, second quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679526","10.2.16.4","11.6","","","","1"
"2015","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679698","10.3.15.1","110000","","","","0"
"2016","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679698","10.3.15.1","113500","","","","0"
"2017","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679698","10.3.15.1","110000","","","","0"
"2018","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679698","10.3.15.1","121500","","","","0"
"2019","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679698","10.3.15.1","134000","","","","0"
"2015","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679701","10.3.15.4","15.7","","","","1"
"2016","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679701","10.3.15.4","16.9","","","","1"
"2017","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679701","10.3.15.4","15.9","","","","1"
"2018","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679701","10.3.15.4","18.0","","","","1"
"2019","Alberta","2016A000248","Household income, third quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679701","10.3.15.4","18.3","","","","1"
"2015","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679705","10.3.16.1","75000","","","","0"
"2016","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679705","10.3.16.1","74300","","","","0"
"2017","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679705","10.3.16.1","71500","","","","0"
"2018","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679705","10.3.16.1","93900","","","","0"
"2019","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679705","10.3.16.1","86800","","","","0"
"2015","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679708","10.3.16.4","10.7","","","","1"
"2016","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679708","10.3.16.4","11.1","","","","1"
"2017","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679708","10.3.16.4","10.3","","","","1"
"2018","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679708","10.3.16.4","13.9","","","","1"
"2019","Alberta","2016A000248","Household income, third quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679708","10.3.16.4","11.8","","","","1"
"2015","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679880","10.4.15.1","122800","","","","0"
"2016","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679880","10.4.15.1","141500","","","","0"
"2017","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679880","10.4.15.1","110700","","","","0"
"2018","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679880","10.4.15.1","109100","","","","0"
"2019","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111679880","10.4.15.1","108900","","","","0"
"2015","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679883","10.4.15.4","18.5","","","","1"
"2016","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679883","10.4.15.4","18.6","","","","1"
"2017","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679883","10.4.15.4","14.8","","","","1"
"2018","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679883","10.4.15.4","13.6","","","","1"
"2019","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111679883","10.4.15.4","13.9","","","","1"
"2015","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679887","10.4.16.1","93200","","","","0"
"2016","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679887","10.4.16.1","95800","","","","0"
"2017","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679887","10.4.16.1","77100","","","","0"
"2018","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679887","10.4.16.1","78800","","","","0"
"2019","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111679887","10.4.16.1","72800","","","","0"
"2015","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679890","10.4.16.4","14.1","","","","1"
"2016","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679890","10.4.16.4","12.6","","","","1"
"2017","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679890","10.4.16.4","10.3","","","","1"
"2018","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679890","10.4.16.4","9.8","","","","1"
"2019","Alberta","2016A000248","Household income, fourth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111679890","10.4.16.4","9.3","","","","1"
"2015","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680062","10.5.15.1","204000","","","","0"
"2016","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680062","10.5.15.1","157400","","","","0"
"2017","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680062","10.5.15.1","137700","","","","0"
"2018","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680062","10.5.15.1","116100","","","","0"
"2019","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680062","10.5.15.1","115100","","","","0"
"2015","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680065","10.5.15.4","18.1","","","","1"
"2016","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680065","10.5.15.4","14.9","","","","1"
"2017","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680065","10.5.15.4","13.9","","","","1"
"2018","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680065","10.5.15.4","12.4","","","","1"
"2019","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680065","10.5.15.4","13.0","","","","1"
"2015","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680069","10.5.16.1","148900","","","","0"
"2016","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680069","10.5.16.1","102300","","","","0"
"2017","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680069","10.5.16.1","90500","","","","0"
"2018","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680069","10.5.16.1","77800","","","","0"
"2019","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Number of persons","Number","223","units","0","v111680069","10.5.16.1","76800","","","","0"
"2015","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680072","10.5.16.4","13.2","","","","1"
"2016","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680072","10.5.16.4","9.7","","","","1"
"2017","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680072","10.5.16.4","9.2","","","","1"
"2018","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680072","10.5.16.4","8.3","","","","1"
"2019","Alberta","2016A000248","Household income, fifth quintile","Current smoker, daily","Percent","Percent","239","units","0","v111680072","10.5.16.4","8.7","","","","1"
"2015","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680244","10.6.15.1","42900","E","","","0"
"2016","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680244","10.6.15.1","36800","","","","0"
"2017","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680244","10.6.15.1","35700","","","","0"
"2018","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680244","10.6.15.1","34100","","","","0"
"2019","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680244","10.6.15.1","41800","","","","0"
"2015","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680247","10.6.15.4","26.7","","","","1"
"2016","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680247","10.6.15.4","23.4","","","","1"
"2017","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680247","10.6.15.4","25.8","","","","1"
"2018","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680247","10.6.15.4","24.7","","","","1"
"2019","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680247","10.6.15.4","27.9","","","","1"
"2015","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111680251","10.6.16.1","37300","E","","","0"
"2016","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111680251","10.6.16.1","30900","","","","0"
"2017","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111680251","10.6.16.1","30000","","","","0"
"2018","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111680251","10.6.16.1","29200","","","","0"
"2019","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Number of persons","Number","223","units","0","v111680251","10.6.16.1","32000","","","","0"
"2015","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111680254","10.6.16.4","23.3","","","","1"
"2016","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111680254","10.6.16.4","19.7","","","","1"
"2017","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111680254","10.6.16.4","21.7","","","","1"
"2018","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111680254","10.6.16.4","21.1","","","","1"
"2019","Alberta","2016A000248","Highest level of education, less than secondary school graduation","Current smoker, daily","Percent","Percent","239","units","0","v111680254","10.6.16.4","21.4","","","","1"
"2015","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680426","10.7.15.1","133500","","","","0"
"2016","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680426","10.7.15.1","121500","","","","0"
"2017","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680426","10.7.15.1","113500","","","","0"
"2018","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680426","10.7.15.1","123300","","","","0"
"2019","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680426","10.7.15.1","124400","","","","0"
"2015","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680429","10.7.15.4","27.3","","","","1"
"2016","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680429","10.7.15.4","27.7","","","","1"
"2017","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680429","10.7.15.4","24.0","","","","1"
"2018","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680429","10.7.15.4","26.1","","","","1"
"2019","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680429","10.7.15.4","26.0","","","","1"
"2015","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111680433","10.7.16.1","107000","","","","0"
"2016","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111680433","10.7.16.1","89700","","","","0"
"2017","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111680433","10.7.16.1","86800","","","","0"
"2018","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111680433","10.7.16.1","95700","","","","0"
"2019","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Number of persons","Number","223","units","0","v111680433","10.7.16.1","91900","","","","0"
"2015","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111680436","10.7.16.4","21.8","","","","1"
"2016","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111680436","10.7.16.4","20.4","","","","1"
"2017","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111680436","10.7.16.4","18.4","","","","1"
"2018","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111680436","10.7.16.4","20.3","","","","1"
"2019","Alberta","2016A000248","Highest level of education, secondary school graduation, no post-secondary education","Current smoker, daily","Percent","Percent","239","units","0","v111680436","10.7.16.4","19.2","","","","1"
"2015","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680608","10.8.15.1","411100","","","","0"
"2016","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680608","10.8.15.1","446100","","","","0"
"2017","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680608","10.8.15.1","404600","","","","0"
"2018","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680608","10.8.15.1","389000","","","","0"
"2019","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Number of persons","Number","223","units","0","v111680608","10.8.15.1","377500","","","","0"
"2015","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680611","10.8.15.4","15.6","","","","1"
"2016","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680611","10.8.15.4","16.1","","","","1"
"2017","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680611","10.8.15.4","14.6","","","","1"
"2018","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680611","10.8.15.4","13.6","","","","1"
"2019","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily or occasional","Percent","Percent","239","units","0","v111680611","10.8.15.4","13.1","","","","1"
"2015","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111680615","10.8.16.1","285000","","","","0"
"2016","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111680615","10.8.16.1","288400","","","","0"
"2017","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111680615","10.8.16.1","257600","","","","0"
"2018","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111680615","10.8.16.1","266600","","","","0"
"2019","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Number of persons","Number","223","units","0","v111680615","10.8.16.1","248700","","","","0"
"2015","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111680618","10.8.16.4","10.8","","","","1"
"2016","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111680618","10.8.16.4","10.4","","","","1"
"2017","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111680618","10.8.16.4","9.3","","","","1"
"2018","Alberta","2016A000248","Highest level of education, post-secondary certificate/diploma or university degree","Current smoker, daily","Percent","Percent","239","units","0","v111680618","10.8.16.4","9.3","","","","1"
